1,1,17
2,1,24
3,2,30
4,2,38
5,2,15
6,2,17
7,3,35
8,3,43
9,3,37
10,4,25
11,4,44
12,5,30
13,5,17
14,5,14
15,5,0
16,6,42
17,6,6
18,6,29
19,6,24
20,7,12
21,7,25
22,7,44
23,8,35
24,8,27
25,8,13
26,9,36
27,9,19
28,9,34
29,10,31
30,10,18
31,10,40
32,10,6
33,11,49
34,11,41
35,12,46
36,12,22
37,12,25
38,12,12
39,12,5
40,13,3
41,13,16
42,14,45
43,14,0
44,14,12
45,14,36
46,15,12
47,15,11
48,16,45
49,16,16
50,16,0
51,17,8
52,17,16
53,18,21
54,18,25
55,19,32
56,19,36
57,19,7
58,19,11
59,20,5
60,20,20
61,20,34
62,21,34
63,21,42
64,21,38
65,22,32
66,22,36
67,22,14
68,22,15
69,23,9
70,23,25
71,23,33
72,23,2
73,24,49
74,24,48
75,25,37
76,25,27
77,26,32
78,26,36
79,26,16
80,26,42
81,27,40
82,27,34
83,27,22
84,27,16
85,28,5
86,28,17
87,28,44
88,29,48
89,29,24
90,29,35
91,30,32
92,30,34
93,30,24
94,31,14
95,31,2
96,31,9
97,32,20
98,32,48
99,33,1
100,33,4
101,33,44
102,34,22
103,34,16
104,34,15
105,35,19
106,35,14
107,36,6
108,36,19
109,36,22
110,37,22
111,37,25
112,37,16
113,37,14
114,37,1
115,38,41
116,38,10
117,38,21
118,38,31
119,39,10
120,39,38
121,39,26
122,39,1
123,39,14
124,40,29
125,40,2
126,40,14
127,40,45
128,41,27
129,41,4
130,41,43
131,41,48
132,42,33
133,42,46
134,42,7
135,43,10
136,43,28
137,43,1
138,44,9
139,44,10
140,44,46
141,45,17
142,45,6
143,45,30
144,46,46
145,46,44
146,46,6
147,47,17
148,47,41
149,47,36
150,48,21
151,48,44
152,49,21
153,49,37
154,50,30
155,50,45
156,51,24
157,51,39
158,52,36
159,52,25
160,53,17
161,53,49
162,53,38
163,53,43
164,54,18
165,54,40
166,54,37
167,55,35
168,55,18
169,55,27
170,56,49
171,56,21
172,56,24
173,57,40
174,57,27
175,57,44
176,58,39
177,58,14
178,58,16
179,58,32
180,59,46
181,59,44
182,60,37
183,60,12
184,60,10
185,61,41
186,61,3
187,62,3
188,62,6
189,63,9
190,63,30
191,63,38
192,63,13
193,64,1
194,64,29
195,64,23
196,65,27
197,65,20
198,65,24
199,66,20
200,66,38
201,66,37
202,66,34
203,67,41
204,67,20
205,67,5
206,68,32
207,68,43
208,68,31
209,68,23
210,69,28
211,69,4
212,69,33
213,70,11
214,70,25
215,71,38
216,71,48
217,71,9
218,71,1
219,72,19
220,72,20
221,72,13
222,73,37
223,73,9
224,73,0
225,74,34
226,74,18
227,74,41
228,75,18
229,75,47
230,75,28
231,76,21
232,76,13
233,76,12
234,77,5
235,77,6
236,77,19
237,78,29
238,78,5
239,78,16
240,79,38
241,79,37
242,79,25
243,79,12
244,80,5
245,80,34
246,80,7
247,81,18
248,81,42
249,82,24
250,82,12
251,82,31
252,82,4
253,83,17
254,83,18
255,83,48
256,83,22
257,84,5
258,84,10
259,84,20
260,85,5
261,85,34
262,86,42
263,86,39
264,87,4
265,87,21
266,88,40
267,88,6
268,89,46
269,89,11
270,89,36
271,89,22
272,89,37
273,90,10
274,90,4
275,90,31
276,91,12
277,91,48
278,91,47
279,91,32
280,92,25
281,92,46
282,92,35
283,92,37
284,93,45
285,93,14
286,93,39
287,94,47
288,94,45
289,94,32
290,95,20
291,95,4
292,95,2
293,95,30
294,96,4
295,96,18
296,96,5
297,96,3
298,97,36
299,97,30
300,97,48
301,98,24
302,98,42
303,99,33
304,99,15
305,99,35
306,99,49
307,100,21
308,100,14
